PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Esfahani, Mohammad S.; Lee, Luke J.; Jeon, Young-Jun; Flynn, Ryan A.; Stehr, Henning; Hui, Angela B.; Ishisoko, Noriko; Kildebeck, Eric; Newman, Aaron M.; Bratman, Scott V.; Porteus, Matthew H.; Chang, Howard Y.; Alizadeh, Ash A.; Diehn, Maximilian								Functional significance of U2AF1 S34F mutations in lung adenocarcinomas								NATURE COMMUNICATIONS				10						5712	10.1038/s41467-019-13392-y			DEC 13 2019	2019										0							WOS:000502760500001		
J	Fasolo, Francesca; Patrucco, Laura; Volpe, Massimiliano; Bon, Carlotta; Peano, Clelia; Mignone, Flavio; Carninci, Piero; Persichetti, Francesca; Santoro, Claudio; Zucchelli, Silvia; Sblattero, Daniele; Sanges, Remo; Cotella, Diego; Gustincich, Stefano								The RNA-binding protein ILF3 binds to transposable element sequences in SINEUP IncRNAs								FASEB JOURNAL				33	12			13572	13589		10.1096/fj.201901618RR			DEC 2019	2019										0							WOS:000507466100042		
J	Payer, Lindsay M.; Burns, Kathleen H.								Transposable elements in human genetic disease								NATURE REVIEWS GENETICS				20	12			760	772		10.1038/s41576-019-0165-8			DEC 2019	2019										0							WOS:000499133000007		
J	Moon, Heegyum; Jang, Ha Na; Liu, Yongchao; Choi, Namjeong; Oh, Jagyeong; Ha, Jiyeon; Kim, Hyeon Ho; Zheng, Xuexiu; Shen, Haihong								RRM but not the Asp/Glu domain of hnRNP C-1/C-2 is required for splicing regulation of Ron exon 11 pre-mRNA								BMB REPORTS				52	11			641	646		10.5483/BMBRep.2019.52.11.080			NOV 30 2019	2019										0							WOS:000499992600003		
J	Muelas, Marina Wright; Mughal, Farah; O'Hagan, Steve; Day, Philip J.; Kell, Douglas B.								The role and robustness of the Gini coefficient as an unbiased tool for the selection of Gini genes for normalising expression profiling data								SCIENTIFIC REPORTS				9						17960	10.1038/s41598-019-54288-7			NOV 29 2019	2019										0							WOS:000499875000001		
J	Holmes, Autumn C.; Semler, Bert L.								Picornaviruses and RNA Metabolism: Local and Global Effects of Infection								JOURNAL OF VIROLOGY				93	21					e02088-17	10.1128/JVI.02088-17			NOV 2019	2019										0							WOS:000490259000044		
J	Tam, Oliver H.; Rozhkov, Nikolay V.; Shaw, Regina; Kim, Duyang; Hubbard, Isabel; Fennessey, Samantha; Propp, Nadia; Fagegaltier, Delphine; Harris, Brent T.; Ostrow, Lyle W.; Phatnani, Hemali; Ravits, John; Dubnau, Josh; Hammell, Molly Gale; Phatnani, Hemali; Kwan, Justin; Sareen, Dhruv; Broach, James R.; Simmons, Zachary; Arcila-Londono, Ximena; Lee, Edward B.; Van Deerlin, Vivianna M.; Shneider, Neil A.; Fraenkel, Ernest; Ostrow, Lyle W.; Baas, Frank; Zaitlen, Noah; Berry, James D.; Malaspina, Andrea; Fratta, Pietro; Cox, Gregory A.; Thompson, Leslie M.; Finkbeiner, Steve; Dardiotis, Efthimios; Miller, Timothy M.; Chandran, Siddharthan; Pal, Suvankar; Hornstein, Eran; MacGowan, Daniel J.; Heiman-Patterson, Terry; Hammell, Molly G.; Patsopoulos, Nikolaos. A.; Butovsky, Oleg; Dubnau, Joshua; Nath, Avindra; Bowser, Robert; Harms, Matt; Aronica, Eleonora; Poss, Mary; Phillips-Cremins, Jennifer; Crary, John; Atassi, Nazem; Lange, Dale J.; Adams, Darius J.; Stefanis, Leonidas; Gotkine, Marc; Baloh, Robert; Babu, Suma; Raj, Towfique; Paganoni, Sabrina; Shalem, Ophir; Smith, Colin; Zhang, Bin		NYGC ALS Consortium						Postmortem Cortex Samples Identify Distinct Molecular Subtypes of ALS: Retrotransposon Activation, Oxidative Stress, and Activated Glia								CELL REPORTS				29	5			1164	+		10.1016/j.celrep.2019.09.066			OCT 29 2019	2019										0							WOS:000493907800009		
J	Ule, Jernej; Blencowe, Benjamin J.								Alternative Splicing Regulatory Networks: Functions, Mechanisms, and Evolution								MOLECULAR CELL				76	2			329	345		10.1016/j.molcel.2019.09.017			OCT 17 2019	2019										0							WOS:000490758100011		
J	Roy, Scott W.; Bowser, Bradley A.								Molecular Evolution: RNA Splicing Machinery Moonlights in Junk Removal								CURRENT BIOLOGY				29	19			R920	R922		10.1016/j.cub.2019.08.046			OCT 7 2019	2019										0							WOS:000489095500003		
J	Di Liddo, Antonella; Machado, Camila de Oliveira Freitas; Fischer, Sandra; Ebersberger, Stefanie; Heumueller, Andreas W.; Weigand, Julia E.; Mueller-McNicoll, Michaela; Zarnack, Kathi								A combined computational pipeline to detect circular RNAs in human cancer cells under hypoxic stress								JOURNAL OF MOLECULAR CELL BIOLOGY				11	10			829	844		10.1093/jmcb/mjz094			OCT 2019	2019										1							WOS:000505828900004		
J	Briese, Michael; Haberman, Nejc; Sibley, Christopher R.; Faraway, Rupert; Elser, Andrea S.; Chakrabarti, Anob M.; Wang, Zhen; Koenig, Julian; Perera, David; Wickramasinghe, Vihandha O.; Venkitaraman, Ashok R.; Luscombe, Nicholas M.; Saieva, Luciano; Pellizzoni, Livio; Smith, Christopher W. J.; Curk, Tomaz; Ule, Jernej								A systems view of spliceosomal assembly and branchpoints with iCLIP								NATURE STRUCTURAL & MOLECULAR BIOLOGY				26	10			930	+		10.1038/s41594-019-0300-4			OCT 2019	2019										1							WOS:000488970400016		
J	Gruber, Andreas J.; Zavolan, Mihaela								Alternative cleavage and polyadenylation in health and disease								NATURE REVIEWS GENETICS				20	10			599	614		10.1038/s41576-019-0145-z			OCT 2019	2019										1							WOS:000487297600007		
J	Fish, Lisa; Navickas, Albertas; Culbertson, Bruce; Xu, Yichen; Nguyen, Hoang C. B.; Zhang, Steven; Hochman, Myles; Okimoto, Ross; Dill, Brian D.; Molina, Henrik; Najafabadi, Hamed S.; Alarcon, Claudio; Ruggero, Davide; Goodarzi, Hani								Nuclear TARBP2 Drives Oncogenic Dysregulation of RNA Splicing and Decay								MOLECULAR CELL				75	5			967	+		10.1016/j.molcel.2019.06.001			SEP 5 2019	2019										3							WOS:000484537000008		
J	Fischl, Harry; Neve, Jonathan; Wang, Zhiqiao; Patel, Radhika; Louey, Alastair; Tian, Bin; Furger, Andre								hnRNPC regulates cancer-specific alternative cleavage and polyadenylation profiles								NUCLEIC ACIDS RESEARCH				47	14			7580	7591		10.1093/nar/gkz461			AUG 22 2019	2019										1							WOS:000483815100037		
J	Ruan, Zhaohui; Xu, Zixuan; Li, Zhaozhi; Lv, Yanni								Integral analyses of survival-related long non-coding RNA MIR210HG and its prognostic role in colon cancer								ONCOLOGY LETTERS				18	2			1107	1116		10.3892/ol.2019.10435			AUG 2019	2019										0							WOS:000476990900016		
J	Avgan, Nesli; Wang, Juli I.; Fernandez-Chamorro, Javier; Weatheritt, Robert J.								Multilayered control of exon acquisition permits the emergence of novel forms of regulatory control								GENOME BIOLOGY				20						141	10.1186/s13059-019-1757-5			JUL 17 2019	2019										1							WOS:000475979200001		
J	Lin, Chenyu; Miles, Wayne O.								Beyond CLIP: advances and opportunities to measure RBP-RNA and RNA-RNA interactions								NUCLEIC ACIDS RESEARCH				47	11			5490	5501		10.1093/nar/gkz295			JUN 20 2019	2019										1							WOS:000475702000009		
J	Schumann, Gerald G.; Fuchs, Nina V.; Tristan-Ramos, Pablo; Sebe, Attila; Ivics, Zoltan; Heras, Sara R.								The impact of transposable element activity on therapeutically relevant human stem cells								MOBILE DNA				10						9	10.1186/s13100-019-0151-x			MAR 9 2019	2019										1							WOS:000460702900001		
J	Du, Kunzhao; Zhang, Longbin; Lee, Trevor; Sun, Tao								m(6)A RNA Methylation Controls Neural Development and Is Involved in Human Diseases								MOLECULAR NEUROBIOLOGY				56	3			1596	1606		10.1007/s12035-018-1138-1			MAR 2019	2019										6							WOS:000460163700004		
J	Zhao, Jing; Harris, Michael E.								Distributive enzyme binding controlled by local RNA context results in 3 to 5 directional processing of dicistronic tRNA precursors by Escherichia coli ribonuclease P								NUCLEIC ACIDS RESEARCH				47	3			1451	1467		10.1093/nar/gky1162			FEB 20 2019	2019										0							WOS:000467960500036		
