PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Terhal, Paulien A.; Vlaar, Judith M.; Middelkamp, Sjors; Nievelstein, Rutger A. J.; Nikkels, Peter G. J.; Ross, Jamila; Creton, Marijn; Bos, Jeroen W.; Voskuil-Kerkhof, Elsbeth S. M.; Cuppen, Edwin; Knoers, Nine; van Gassen, Koen L., I								Biallelic variants in POLR3GL cause endosteal hyperostosis and oligodontia								EUROPEAN JOURNAL OF HUMAN GENETICS				28	1			31	39		10.1038/s41431-019-0427-0			JAN 2020	2020										0							WOS:000502538900006		
J	Frumkin, Idan; Yofe, Ido; Bar-Ziv, Raz; Gurvich, Yonat; Lu, Yen-Yun; Voichek, Yoav; Towers, Ruth; Schirman, Dvir; Krebber, Heike; Pilpel, Yitzhak								Evolution of intron splicing towards optimized gene expression is based on various Cis- and Trans-molecular mechanisms								PLOS BIOLOGY				17	8					e3000423	10.1371/journal.pbio.3000423			AUG 2019	2019										0							WOS:000483408500034		
J	Koedoot, Esmee; Fokkelman, Michiel; Rogkoti, Vasiliki-Maria; Smid, Marcel; van de Sandt, Iris; de Bont, Hans; Pont, Chantal; Klip, Janna E.; Wink, Steven; Timmermans, Eke A.; Wiemer, Erik A. C.; Stoilov, Peter; Foekens, John A.; Le Devedec, Sylvia E.; Martens, John W. M.; van de Water, Bob								Uncovering the signaling landscape controlling breast cancer cell migration identifies novel metastasis driver genes								NATURE COMMUNICATIONS				10						2983	10.1038/s41467-019-11020-3			JUL 5 2019	2019										2							WOS:000474240600015		
J	Moloney, Gerard M.; van Oeffelen, Wesley E. P. A.; Ryan, Feargal J.; van de Wouw, Marcel; Cowan, Caitlin; Claesson, Marcus J.; Schellekens, Harriet; Dinan, Timothy G.; Cryan, John F.								Differential gene expression in the mesocorticolimbic system of innately high- and low-impulsive rats								BEHAVIOURAL BRAIN RESEARCH				364				193	204		10.1016/j.bbr.2019.01.022			MAY 17 2019	2019										0							WOS:000463130800022		
J	Colgan, Thomas J.; Fletcher, Isabel K.; Arce, Andres N.; Gill, Richard J.; Rodrigues, Ana Ramos; Stolle, Eckart; Chittka, Lars; Wurm, Yannick								Caste- and pesticide-specific effects of neonicotinoid pesticide exposure on gene expression in bumblebees								MOLECULAR ECOLOGY				28	8			1964	1974		10.1111/mec.15047			APR 2019	2019										4							WOS:000468200800010		
J	Wolfe, Sarah A.; Farris, Sean P.; Mayfield, Joshua E.; Heaney, Chelcie F.; Erickson, Emma K.; Harris, R. Adron; Mayfield, R. Dayne; Raab-Graham, Kimberly F.								Ethanol and a rapid-acting antidepressant produce overlapping changes in exon expression in the synaptic transcriptome								NEUROPHARMACOLOGY				146				289	299		10.1016/j.neuropharm.2018.11.007			MAR 1 2019	2019										0							WOS:000457663900028		
J	Zhu, Ying; Sousa, Andre M. M.; Gao, Tianliuyun; Skarica, Mario; Li, Mingfeng; Santpere, Gabriel; Esteller-Cucala, Paula; Juan, David; Ferrandez-Peral, Luis; Gulden, Forrest O.; Yang, Mo; Miller, Daniel J.; Marques-Bonet, Tomas; Kawasawa, Yuka Imamura; Zhao, Hongyu; Sestan, Nenad								Spatiotemporal transcriptomic divergence across human and macaque brain development								SCIENCE				362	6420			1267	+	eaat8077	10.1126/science.aat8077			DEC 14 2018	2018										18							WOS:000452994400044		
J	Bapat, Aditi; Keita, Nakia; Martelly, William; Kang, Paul; Seet, Christopher; Jacobsen, Jeffery R.; Stoilov, Peter; Hu, Chengcheng; Crooks, Gay M.; Sharma, Shalini								Myeloid Disease Mutations of Splicing Factor SRSF2 Cause G2-M Arrest and Skewed Differentiation of Human Hematopoietic Stem and Progenitor Cells								STEM CELLS				36	11			1663	1675		10.1002/stem.2885			NOV 2018	2018										2							WOS:000450302800004		
J	Parra, Marilyn; Booth, Ben W.; Weiszmann, Richard; Yee, Brian; Yeo, Gene W.; Brown, James B.; Celniker, Susan E.; Conboy, John G.								An important class of intron retention events in human erythroblasts is regulated by cryptic exons proposed to function as splicing decoys								RNA				24	9			1255	1265		10.1261/rna.066951.118			SEP 2018	2018										2							WOS:000441742400011		
J	Bhuiyan, Shamsuddin A.; Ly, Sophia; Phan, Minh; Huntington, Brandon; Hogan, Ellie; Liu, Chao Chun; Liu, James; Pavlidis, Paul								Systematic evaluation of isoform function in literature reports of alternative splicing								BMC GENOMICS				19						637	10.1186/s12864-018-5013-2			AUG 28 2018	2018										2							WOS:000443373000004		
J	Moore, Kat S.; Yagci, Nurcan; van Alphen, Floris; Meijer, Alexander B.; 't Hoen, Peter A. C.; von Lindern, Marieke								Strap associates with Csde1 and affects expression of select Csde1-bound transcripts								PLOS ONE				13	8					e0201690	10.1371/journal.pone.0201690			AUG 23 2018	2018										1							WOS:000442800100023		
J	Xiong, Jieyi; Jiang, Xi; Ditsiou, Angeliki; Gao, Yang; Sun, Jing; Lowenstein, Elijah D.; Huang, Shuyun; Khaitovich, Philipp								Predominant patterns of splicing evolution on human, chimpanzee and macaque evolutionary lineages								HUMAN MOLECULAR GENETICS				27	8			1474	1485		10.1093/hmg/ddy058			APR 15 2018	2018										1							WOS:000429490700013		
J	Oghabian, Ali; Greco, Dario; Frilander, Mikko J.								IntEREst: intron-exon retention estimator								BMC BIOINFORMATICS				19						130	10.1186/s12859-018-2122-5			APR 11 2018	2018										3							WOS:000431023300005		
J	Reyes, Alejandro; Huber, Wolfgang								Alternative start and termination sites of transcription drive most transcript isoform differences across human tissues								NUCLEIC ACIDS RESEARCH				46	2			582	592		10.1093/nar/gkx1165			JAN 25 2018	2018										29							WOS:000423812300014		
J	Li, Yang I.; Knowles, David A.; Humphrey, Jack; Barbeira, Alvaro N.; Dickinson, Scott P.; Im, Hae Kyung; Pritchard, Jonathan K.								Annotation-free quantification of RNA splicing using LeafCutter								NATURE GENETICS				50	1			151	+		10.1038/s41588-017-0004-9			JAN 2018	2018										46							WOS:000423157400018		
J	Tian, Yuan; Babor, Mariana; Lane, Jerome; Schulten, Veronique; Patil, Veena S.; Seumois, Gregory; Rosales, Sandy L.; Fu, Zheng; Picarda, Gaelle; Burel, Julie; Zapardiel-Gonzalo, Jose; Tennekoon, Rashika N.; De Silva, Aruna D.; Premawansa, Sunil; Premawansa, Gayani; Wijewickrama, Ananda; Greenbaum, Jason A.; Vijayanand, Pandurangan; Weiskopf, Daniela; Sette, Alessandro; Peters, Bjoern								Unique phenotypes and clonal expansions of human CD4 effector memory T cells re-expressing CD45RA								NATURE COMMUNICATIONS				8						1473	10.1038/s41467-017-01728-5			NOV 13 2017	2017										23							WOS:000414915900035		
