PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Sommerkamp, Pia; Renders, Simon; Ladel, Luisa; Hotz-Wagenblatt, Agnes; Schoenberger, Katharina; Zeisberger, Petra; Przybylla, Adriana; Sohn, Markus; Zhou, Yunli; Klibanski, Anne; Cabezas-Wallscheid, Nina; Trumpp, Andreas								The long non-coding RNA Meg3 is dispensable for hematopoietic stem cells								SCIENTIFIC REPORTS				9						2110	10.1038/s41598-019-38605-8			FEB 14 2019	2019										0							WOS:000458619600109		
J	de Rooij, Laura P. M. H.; Chan, Derek C. H.; Chahi, Ava Keyvani; Hope, Kristin J.								Post-transcriptional regulation in hematopoiesis: RNA binding proteins take control								BIOCHEMISTRY AND CELL BIOLOGY				97	1			10	20		10.1139/bcb-2017-0310			FEB 2019	2019						60th Annual Conference of the Canadian-Society-for-Molecular-Biosciences (CSMB)	MAY 16-20, 2017	Canadian Soc Mol Biosciences	Ottawa, CANADA	3							WOS:000457403100002		
J	Grinenko, Tatyana; Eugster, Anne; Thielecke, Lars; Ramasz, Beata; Krueger, Anja; Dietz, Sevina; Glauche, Ingmar; Gerbaulet, Alexander; von Bonin, Malte; Basak, Onur; Clevers, Hans; Chavakis, Triantafyllos; Wielockx, Ben								Hematopoietic stem cells can differentiate into restricted myeloid progenitors before cell division in mice								NATURE COMMUNICATIONS				9						1898	10.1038/s41467-018-04188-7			MAY 15 2018	2018										6							WOS:000432115300002		
J	Abazova, Nade; Krijgsveld, Jeroen								Advances in stem cell proteomics								CURRENT OPINION IN GENETICS & DEVELOPMENT				46				149	155		10.1016/j.gde.2017.07.007			OCT 2017	2017										3							WOS:000411955300019		
J	Su, Hang; Wang, Gaowei; Yuan, Ruoshi; Wang, Junqiang; Tang, Ying; Ao, Ping; Zhu, Xiaomei								Decoding early myelopoiesis from dynamics of core endogenous network								SCIENCE CHINA-LIFE SCIENCES				60	6			627	646		10.1007/s11427-017-9059-y			JUN 2017	2017										4							WOS:000404775400007		
J	Cabezas-Wallscheid, Nina; Buettner, Florian; Sommerkamp, Pia; Klimmeck, Daniel; Ladel, Luisa; Thalheimer, Frederic B.; Pastor-Flores, Daniel; Roma, Leticia P.; Renders, Simon; Zeisberger, Petra; Przybylla, Adriana; Schoenberger, Katharina; Scognamiglio, Roberta; Altamura, Sandro; Florian, Carolina M.; Fawaz, Malak; Vonficht, Dominik; Tesio, Melania; Collier, Paul; Pavlinic, Dinko; Geiger, Hartmut; Schroeder, Timm; Benes, Vladimir; Dick, Tobias P.; Rieger, Michael A.; Stegle, Oliver; Trumpp, Andreas								Vitamin A-Retinoic Acid Signaling Regulates Hematopoietic Stem Cell Dormancy								CELL				169	5			807	+		10.1016/j.cell.2017.04.018			MAY 18 2017	2017										87							WOS:000401515900008		
J	Lee, Pui Y.; Sykes, David B.; Ameri, Sarah; Kalaitzidis, Demetrios; Charles, Julia F.; Nelson-Maney, Nathan; Wei, Kevin; Cunin, Pierre; Morris, Allyn; Cardona, Astrid E.; Root, David E.; Scadden, David T.; Nigrovic, Peter A.								The metabolic regulator mTORC1 controls terminal myeloid differentiation								SCIENCE IMMUNOLOGY				2	11					eaam6641	10.1126/sciimmunol.aam6641			MAY 2017	2017										11							WOS:000434315000005		
J	Yang, Jennifer; Tanaka, Yoshiaki; Seay, Montrell; Li, Zhen; Jin, Jiaqi; Garmire, Lana Xia; Zhu, Xun; Taylor, Ashley; Li, Weidong; Euskirchen, Ghia; Halene, Stephanie; Kluger, Yuval; Snyder, Michael P.; Park, In-Hyun; Pan, Xinghua; Weissman, Sherman Morton								Single cell transcriptomics reveals unanticipated features of early hematopoietic precursors								NUCLEIC ACIDS RESEARCH				45	3			1281	1296		10.1093/nar/gkw1214			FEB 2017	2017										16							WOS:000397008000025		
J	Hamed, Mohamed; Trumm, Johannes; Spaniol, Christian; Sethi, Riccha; Irhimeh, Mohammad R.; Fuellen, Georg; Paulsen, Martina; Helms, Volkhard								Linking Hematopoietic Differentiation to Co-Expressed Sets of Pluripotency-Associated and Imprinted Genes and to Regulatory microRNA-Transcription Factor Motifs								PLOS ONE				12	1					e0166852	10.1371/journal.pone.0166852			JAN 4 2017	2017										3							WOS:000391621500006		
J	Gunnarsson, Anders Patrik; Christensen, Rikke; Li, Jian; Jensen, Uffe Birk								Global gene expression and comparison between multiple populations in the mouse epidermis								STEM CELL RESEARCH				17	1			191	202		10.1016/j.scr.2016.06.002			JUL 2016	2016										4							WOS:000385278000034		
J	Dou, Diana R.; Calvanese, Vincenzo; Sierra, Maria I.; Nguyen, Andrew T.; Minasian, Arazin; Saarikoski, Pamela; Sasidharan, Rajkumar; Ramirez, Christian M.; Zack, Jerome A.; Crooks, Gay M.; Galic, Zoran; Mikkola, Hanna K. A.								Medial HOXA genes demarcate haematopoietic stem cell fate during human development								NATURE CELL BIOLOGY				18	6			595	+		10.1038/ncb3354			JUN 2016	2016										27							WOS:000376750100006		
