PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Devadoss, Dinesh; Long, Christopher; Langley, Raymond J.; Manevski, Marko; Nair, Madhavan; Campos, Michael A.; Borchert, Glen; Rahman, Irfan; Chand, Hitendra S.								Long Noncoding Transcriptome in Chronic Obstructive Pulmonary Disease								AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY				61	6			678	688		10.1165/rcmb.2019-0184TR			DEC 2019	2019										0							WOS:000499728500007		
J	Yun, Jeong H.; Chase, Robert; Parker, Margaret M.; Saferali, Aabida; Castaldi, Peter J.; Silverman, Edwin K.; Hersh, Craig P.		COPDGene Investigators						Peripheral Blood Gene Expression Signatures of Eosinophilic Chronic Obstructive Pulmonary Disease								AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY				61	3			398	401		10.1165/rcmb.2019-0112LE			SEP 2019	2019										0							WOS:000484043800020		
J	Regan, Elizabeth A.; Hersh, Craig P.; Castaldi, Peter J.; DeMeo, Dawn L.; Silverman, Edwin K.; Crapo, James D.; Bowler, Russell P.								Omics and the Search for Blood Biomarkers in Chronic Obstructive Pulmonary Disease Insights from COPDGene								AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY				61	2			143	149		10.1165/rcmb.2018-0245PS			AUG 2019	2019										0							WOS:000484040500008		
J	Christenson, Stephanie; Hersh, Craig P.								Found in Translation: Multi-omics Assessment of the Chronic Obstructive Pulmonary Disease-Lung Cancer Interaction								AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE				200	3			276	277		10.1164/rccm.201901-0156ED			AUG 1 2019	2019										1							WOS:000478852400008		
J	Parker, Margaret M.; Hao, Yuan; Guo, Feng; Pham, Betty; Chase, Robert; Platig, John; Cho, Michael H.; Hersh, Craig P.; Thannickal, Victor J.; Crapo, James; Washko, George; Randell, Scott H.; Silverman, Edwin K.; Estepar, Raul San Jose; Zhou, Xiaobo; Castaldi, Peter J.								Identification of an emphysema-associated genetic variant near TGFB2 with regulatory effects in lung fibroblasts								ELIFE				8						e42720	10.7554/eLife.42720			JUL 25 2019	2019										1							WOS:000481672700001		
J	Saferali, Aabida; Yun, Jeong H.; Parker, Margaret M.; Sakornsakolpat, Phuwanat; Chase, Robert P.; Lamb, Andrew; Hobbs, Brian D.; Boezen, Marike H.; Dai, Xiangpeng; de Jong, Kim; Beaty, Terri H.; Wei, Wenyi; Zhou, Xiaobo; Silverman, Edwin K.; Cho, Michael H.; Castaldi, Peter J.; Hersh, Craig P.		COPDGene Investigators; Int COPD Genetics Consortium Inves						Analysis of genetically driven alternative splicing identifies FBXO38 as a novel COPD susceptibility gene								PLOS GENETICS				15	7					e1008229	10.1371/journal.pgen.1008229			JUL 2019	2019										0							WOS:000478689100013		
J	Fu, Qiang; Li, Shaoshan; Zhou, Qingjiu; Yalikun, Kugeluke; Yisireyili, Dilimulati; Xia, Ming								Low LINC00599 expression is a poor prognostic factor in glioma								BIOSCIENCE REPORTS				39						BSR20190232	10.1042/BSR20190232			APR 30 2019	2019										2							WOS:000466609400071		
J	Morrow, Jarrett D.; Chase, Robert P.; Parker, Margaret M.; Glass, Kimberly; Seo, Minseok; Divo, Miguel; Owen, Caroline A.; Castaldi, Peter; Demeo, Dawn L.; Silverman, Edwin K.; Hersh, Craig P.								RNA-sequencing across three matched tissues reveals shared and tissue-specific gene expression and pathway signatures of COPD								RESPIRATORY RESEARCH				20	1					65	10.1186/s12931-019-1032-z			APR 2 2019	2019										2							WOS:000489145700002		
J	Boueiz, Adel; Pham, Betty; Chase, Robert; Lamb, Andrew; Lee, Sool; Naing, Zun Zar Chi; Cho, Michael H.; Parker, Margaret M.; Sakornsakolpat, Phuwanat; Hersh, Craig P.; Crapo, James D.; Stergachis, Andrew B.; Tal-Singer, Ruth; DeMeo, Dawn L.; Silverman, Edwin K.; Zhou, Xiaobo; Castaldi, Peter J.; Make, Barry J.; Regan, Elizabeth A.; Beaty, Terri; Begum, Ferdouse; Cho, Michael; Foreman, Marilyn G.; Halper-Stromberg, Eitan; Hayden, Lystra P.; Hetmanski, Jacqueline; Hobbs, Brian D.; Hokanson, John E.; Laird, Nan; Lange, Christoph; Lutz, Sharon M.; McDonald, Merry-Lynn; Qiao, Dandi; Wan, Emily S.; Won, Sungho; Prokopenko, Dmitry; Al Qaisi, Mustafa; Coxson, Harvey O.; Gray, Teresa; Han, MeiLan K.; Hoffman, Eric A.; Humphries, Stephen; Jacobson, Francine L.; Judy, Philip F.; Kazerooni, Ella A.; Kluiber, Alex; Lynch, David A.; Newell, John D., Jr.; Ross, James C.; Estepar, Raul San Jose; Schroeder, Joyce; Sieren, Jered; Stinson, Douglas; Stoel, Berend C.; Tschirren, Juerg; Van Beek, Edwin; van Ginneken, Bram; van Rikxoort, Eva; Washko, George; Wilson, Carla G.; Jensen, Robert; Everett, Douglas; Crooks, Jim; Moore, Camille; Strand, Matt; Hughes, John; Kinney, Gregory; Pratte, Katherine; Young, Kendra A.; Bhatt, Surya; Bon, Jessica; Make, Barry; Martinez, Carlos; Murray, Susan; Regan, Elizabeth; Soler, Xavier; Bowler, Russell P.; Kechris, Katerina; Banaei-Kashani, Farnoush		Genetic Epidemiology COPD COPDGene						Integrative Genomics Analysis Identifies ACVR1B as a Candidate Causal Gene of Emphysema Distribution								AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY				60	4			388	398		10.1165/rcmb.2018-0110OC			APR 2019	2019										3							WOS:000463007000008		
J	Hersh, Craig P.; Adcock, Ian M.; Celedon, Juan C.; Cho, Michael H.; Christiani, David C.; Himes, Blanca E.; Kaminski, Naftali; Mathias, Rasika A.; Meyers, Deborah A.; Quackenbush, John; Redline, Susan; Steiling, Katrina A.; Tabor, Holly K.; Tobin, Martin D.; Wurfel, Mark M.; Yang, Ivana V.; Koppelman, Gerard H.		American Thoracic Soc Sect Genetic						High-Throughput Sequencing in Respiratory, Critical Care, and Sleep Medicine Research An Official American Thoracic Society Workshop Report								ANNALS OF THE AMERICAN THORACIC SOCIETY				16	1			1	16		10.1513/AnnalsATS.201810-716WS			JAN 2019	2019										3							WOS:000454507300001		
J	Al-Obaide, Mohammed A. Ibrahim; Abdel-Salam, Abdel-Salam G.; AL-Hmoud, Nisreen DaifAllah; Hassani, Hayfa H.; Verma, J. P.								Editorial: Bioinformatics and Biostatistics Applications in Tobacco Smoking Research								FRONTIERS IN PUBLIC HEALTH				6						366	10.3389/fpubh.2018.00366			DEC 11 2018	2018										0							WOS:000452919100001		
