PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Dhalla, Fatima; Baran-Gale, Jeanette; Maio, Stefano; Chappell, Lia; Hollander, Georg A.; Ponting, Chris P.								Biologically indeterminate yet ordered promiscuous gene expression in single medullary thymic epithelial cells								EMBO JOURNAL				39	1					e101828	10.15252/embj.2019101828			JAN 2 2020	2020										0							WOS:000505543500008		
J	Ribeiro, Camila; Alves, Nuno L.; Ferreirinha, Pedro								Medullary thymic epithelial cells: Deciphering the functional diversity beyond promiscuous gene expression								IMMUNOLOGY LETTERS				215				24	27		10.1016/j.imlet.2019.01.012			NOV 2019	2019						5th European Congress of Immunology (ECI)	SEP 02-05, 2018		Amsterdam, NETHERLANDS	1							WOS:000498338300004		
J	Dhalla, Fatima; Baran-Gale, Jeanette; Maio, Stefano; Chappell, Lia; Hollaender, Georg A.; Ponting, Chris P.								Biologically indeterminate yet ordered promiscuous gene expression in single medullary thymic epithelial cells								EMBO JOURNAL										e101828	10.15252/embj.2019101828				2019										0							WOS:000492738300001		
J	Marin-Sanchez, Ana; Alvarez-Sierra, Daniel; Gonzalez, Oscar; Lucas-Martin, Ana; Selles-Sanchez, Alicia; Rudilla, Francesc; Enrich, Emma; Colobran, Roger; Pujol-Borrell, Ricardo								Regulation of TSHR Expression in the Thyroid and Thymus May Contribute to TSHR Tolerance Failure in Graves' Disease Patients via Two Distinct Mechanisms								FRONTIERS IN IMMUNOLOGY				10						1695	10.3389/fimmu.2019.01695			JUL 18 2019	2019										0							WOS:000475915400001		
J	Lancaster, J. N.; Thyagarajan, H. M.; Srinivasan, J.; Li, Y.; Hu, Z.; Ehrlich, L. I. R.								Live-cell imaging reveals the relative contributions of antigen-presenting cell subsets to thymic central tolerance								NATURE COMMUNICATIONS				10						2220	10.1038/s41467-019-09727-4			MAY 17 2019	2019										1							WOS:000468174600020		
J	Mempel, Thorsten R.; Marangoni, Francesco								Guidance factors orchestrating regulatory T cell positioning in tissues during development, homeostasis, and response								IMMUNOLOGICAL REVIEWS				289	1			129	141		10.1111/imr.12761			MAY 2019	2019										1							WOS:000465083800009		
J	Filipp, Dominik; Brabec, Tomas; Voboril, Matous; Dobes, Jan								Enteric alpha-defensins on the verge of intestinal immune tolerance and inflammation								SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY				88				138	146		10.1016/j.semcdb.2018.01.007			APR 2019	2019										0							WOS:000460291000015		
J	Klein, Ludger; Robey, Ellen A.; Hsieh, Chyi-Song								Central CD4(+) T cell tolerance: deletion versus regulatory T cell differentiation								NATURE REVIEWS IMMUNOLOGY				19	1			7	18		10.1038/s41577-018-0083-6			JAN 2019	2019										10							WOS:000454709800008		
J	Morimoto, Junko; Nishikawa, Yumiko; Kakimoto, Takumi; Furutani, Kohei; Kihara, Naoki; Matsumoto, Minoru; Tsuneyama, Koichi; Kozono, Yuko; Kozono, Haruo; Hozumi, Katsuto; Hosomichi, Kazuyoshi; Nishijima, Hitoshi; Matsumoto, Mitsuru								Aire Controls in Trans the Production of Medullary Thymic Epithelial Cells Expressing Ly-6C/Ly-6G								JOURNAL OF IMMUNOLOGY				201	11			3244	3257		10.4049/jimmunol.1800950			DEC 1 2018	2018										0							WOS:000450523800013		
J	Banerjee, Soumya; Chapman, S. Jonathan								Influence of correlated antigen presentation on T-cell negative selection in the thymus								JOURNAL OF THE ROYAL SOCIETY INTERFACE				15	148					20180311	10.1098/rsif.2018.0311			NOV 2018	2018										0							WOS:000452108200002		
J	Handel, Adam E.; Shikama-Dorn, Noriko; Zhanybekova, Saule; Maio, Stefano; Graedel, Annina N.; Zuklys, Saulius; Ponting, Chris P.; Hollander, Georg A.								Comprehensively Profiling the Chromatin Architecture of Tissue Restricted Antigen Expression in Thymic Epithelial Cells Over Development								FRONTIERS IN IMMUNOLOGY				9						2120	10.3389/fimmu.2018.02120			SEP 19 2018	2018										1							WOS:000445046900001		
J	Bornstein, Chamutal; Nevo, Shir; Giladi, Amir; Kadouri, Noam; Pouzolles, Marie; Gerbe, Francois; David, Eyal; Machado, Alice; Chuprin, Anna; Toth, Beata; Goldberg, Ori; Itzkovitz, Shalev; Taylor, Naomi; Jay, Philippe; Zimmermann, Valerie S.; Abramson, Jakub; Amit, Ido								Single-cell mapping of the thymic stroma identifies IL-25-producing tuft epithelial cells								NATURE				559	7715			622	+		10.1038/s41586-018-0346-1			JUL 26 2018	2018										21							WOS:000439850800058		
J	Pohar, Jelka; Simon, Quentin; Fillatreau, Simon								Antigen-Specificity in the Thymic Development and Peripheral Activity of CD4(+)FOXP3(+) T Regulatory Cells								FRONTIERS IN IMMUNOLOGY				9						1701	10.3389/fimmu.2018.01701			JUL 23 2018	2018										2							WOS:000439457800001		
J	Thyagarajan, Hiran M.; Lancaster, Jessica N.; Lira, Sergio A.; Ehrlich, Lauren I. R.								CCR8 is expressed by post-positive selection CD4-lineage thymocytes but is dispensable for central tolerance induction								PLOS ONE				13	7					e0200765	10.1371/journal.pone.0200765			JUL 19 2018	2018										1							WOS:000439120000049		
J	Cheng, Mickie; Anderson, Mark S.								Thymic tolerance as a key brake on autoimmunity								NATURE IMMUNOLOGY				19	7			659	664		10.1038/s41590-018-0128-9			JUL 2018	2018										6							WOS:000436341300011		
J	Kernfeld, Eric M.; Genga, Ryan M. J.; Neherin, Kashfia; Magaletta, Margaret E.; Xu, Ping; Maehr, Rene								A Single-Cell Transcriptomic Atlas of Thymus Organogenesis Resolves Cell Types and Developmental Maturation								IMMUNITY				48	6			1258	+		10.1016/j.immuni.2018.04.015			JUN 19 2018	2018										16							WOS:000436456900023		
J	O'Sullivan, Brendan J.; Yekollu, Suman; Ruscher, Roland; Mehdi, Ahmed M.; Maradana, Muralidhara Rao; Chidgey, Ann P.; Thomas, Ranjeny								Autoimmune-Mediated Thymic Atrophy Is Accelerated but Reversible in ReIB-Deficient Mice								FRONTIERS IN IMMUNOLOGY				9						109	10.3389/fimmu.2018.01092			MAY 22 2018	2018										1							WOS:000432685900002		
J	Sykes, Megan								IXA Honorary Member Lecture, 2017: The long and winding road to tolerance								XENOTRANSPLANTATION				25	3					e12419	10.1111/xen.12419			MAY-JUN 2018	2018										3							WOS:000435447300012		
J	Apert, Cecile; Romagnoli, Paola; van Meerwijk, Joost P. M.								IL-2 and IL-15 dependent thymic development of Foxp3-expressing regulatory T lymphocytes								PROTEIN & CELL				9	4			322	332		10.1007/s13238-017-0425-3			APR 2018	2018										10							WOS:000428849800002		
J	Perniola, Roberto								Twenty Years of AIRE								FRONTIERS IN IMMUNOLOGY				9						98	10.3389/fimmu.2018.00098			FEB 12 2018	2018										12							WOS:000424778100002		
J	Koh, Andrew S.; Miller, Erik L.; Buenrostro, Jason D.; Moskowitz, David M.; Wang, Jing; Greenleaf, William J.; Chang, Howard Y.; Crabtree, Gerald R.								Rapid chromatin repression by Aire provides precise control of immune tolerance								NATURE IMMUNOLOGY				19	2			162	+		10.1038/s41590-017-0032-8			FEB 2018	2018										5							WOS:000423435200016		
